upper/lower canyon,environment,lat,long,type,direction,source,,,outliers (erronous points),,,,,
,axis,,,flutes,186,3b,,,,,,,,
,axis,29.9679,-115.8078,flutes,189,into-TBT,,,,,,,,
,axis,29.9679,-115.8078,flutes,207,into-TBT,,,,,,,,
,axis,29.9782,-115.801,flutes,245,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,240,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,236,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,268,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,268,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,266,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,163,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,181,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,186,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,193,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,197,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,198,PB-upper,,,,,,,,
,axis,29.9782,-115.801,flutes,277,PB-upper,,,,,,,,
,axis,29.973056,-115.803889,flutes,241,PB_Chaotic 1,,,,,,,,
,axis,29.978056,-115.801944,imbrication,261,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,243,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,260,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,235,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,247,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,256,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,187,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,178,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,235,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,204,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,229,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,236,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,251,congl3,,,Unusual directions from congl2,,,,,
,axis,29.978056,-115.801944,imbrication,225,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,204,congl3,,,axis,29.969444,-115.804444,imbrication,124,congl2
,axis,29.978056,-115.801944,imbrication,212,congl3,,,axis,29.969444,-115.804444,imbrication,149,congl2
,axis,29.978056,-115.801944,imbrication,259,congl3,,,axis,29.969444,-115.804444,imbrication,117,congl2
,axis,29.978056,-115.801944,imbrication,240,congl3,,,axis,29.969444,-115.804444,imbrication,101,congl2
,axis,29.978056,-115.801944,imbrication,250,congl3,,,axis,29.969444,-115.804444,imbrication,186,congl2
,axis,29.978056,-115.801944,imbrication,268,congl3,,,,,,,,
,axis,29.978056,-115.801944,imbrication,269,congl3,,,axis,29.969444,-115.804444,imbrication,104,congl2
,axis,29.978056,-115.801944,imbrication,266,congl3,,,axis,29.969444,-115.804444,imbrication,92,congl2
,axis,29.978056,-115.801944,imbrication,258,congl3,,,axis,29.969444,-115.804444,imbrication,129,congl2
,axis,29.978056,-115.801944,imbrication,256,congl3,,,axis,29.969444,-115.804444,imbrication,321,congl2
,axis,29.978056,-115.801944,imbrication,265,congl3,,,axis,29.978056,-115.801944,imbrication,278,congl3
,axis,29.978056,-115.801944,imbrication,265,congl2,,,axis,29.969444,-115.804444,imbrication,74,congl2
,axis,29.977617,-115.802628,imbrication,242,PB_A_Amphitheater long,,,axis,29.978056,-115.801944,imbrication,292,congl2
,axis,29.977617,-115.802628,imbrication,262,PB_A_Amphitheater long,,,axis,29.969444,-115.804444,imbrication,104,congl2
,axis,29.977617,-115.802628,imbrication,242,PB_A_Amphitheater long,,,,,,,,
,axis,29.977617,-115.802628,imbrication,235,PB_A_Amphitheater long,,,axis,29.969444,-115.804444,imbrication,86,congl2
,axis,29.977617,-115.802628,imbrication,222,PB_A_Amphitheater long,,,,,,,,
,axis,29.977617,-115.802628,imbrication,216,PB_A_Amphitheater long,,,,,,,,
,axis,29.977617,-115.802628,imbrication,206,PB_A_Amphitheater long,,,,,,,,
,axis,29.977617,-115.802628,imbrication,228,PB_A_Amphitheater long,,,,,,,,
,axis,29.977617,-115.802628,imbrication,245,PB_A_Amphitheater long,,,,,,,,
,axis,29.977617,-115.802628,imbrication,231,PB_A_Amphitheater long,,,axis,29.969444,-115.804444,imbrication,90,congl2
,axis,29.977617,-115.802628,imbrication,208,PB_A_Amphitheater long_east sidetrack,,,,,,,,
,axis,29.977617,-115.802628,imbrication,212,PB_A_Amphitheater long_east sidetrack,,,,,,,,
,axis,29.977617,-115.802628,imbrication,220,PB_A_Amphitheater long_east sidetrack,,,,,,,,
